0 2
0 3
0 4
0 5
0 6
0 7
0 8
0 9
0 10
0 11
0 12
0 13
0 14
0 15
0 16
0 20
0 21
0 22
0 24
0 25
0 28
0 29
0 31
0 32
0 33
0 34
0 35
0 37
0 38
0 39
0 40
0 42
0 43
0 44
0 45
0 46
0 47
0 48
0 51
0 52
0 55
0 56
0 57
0 62
1 3
1 4
1 6
1 7
1 9
1 10
1 12
1 14
1 17
1 18
1 19
1 20
1 21
1 22
1 23
1 26
1 27
1 29
1 30
1 32
1 33
1 35
1 36
1 38
1 39
1 41
1 49
1 50
1 53
1 58
1 59
1 61
2 3
2 4
2 5
2 6
2 7
2 8
2 9
2 10
2 11
2 12
2 13
2 14
2 15
2 16
2 18
2 20
2 21
2 22
2 24
2 25
2 28
2 29
2 31
2 32
2 33
2 34
2 35
2 37
2 38
2 39
2 40
2 42
2 43
2 44
2 45
2 46
2 47
2 48
2 51
2 52
2 54
2 55
2 56
2 57
2 62
3 4
3 5
3 6
3 7
3 8
3 9
3 10
3 11
3 12
3 13
3 14
3 15
3 16
3 17
3 18
3 19
3 20
3 21
3 22
3 23
3 24
3 25
3 26
3 27
3 28
3 29
3 30
3 31
3 32
3 33
3 34
3 35
3 36
3 37
3 38
3 39
3 40
3 41
3 42
3 47
3 48
3 49
3 50
3 53
3 54
3 60
3 63
4 5
4 6
4 7
4 8
4 9
4 10
4 11
4 12
4 13
4 14
4 15
4 16
4 17
4 18
4 19
4 20
4 21
4 22
4 23
4 24
4 25
4 26
4 27
4 28
4 29
4 30
4 31
4 32
4 33
4 34
4 35
4 36
4 37
4 38
4 39
4 40
4 41
4 42
4 47
4 48
4 49
4 50
4 53
4 54
4 60
4 63
5 6
5 7
5 8
5 9
5 10
5 11
5 12
5 13
5 14
5 15
5 16
5 18
5 20
5 21
5 22
5 24
5 25
5 28
5 29
5 31
5 32
5 33
5 34
5 35
5 37
5 38
5 39
5 40
5 42
5 43
5 44
5 45
5 46
5 47
5 48
5 51
5 52
5 54
5 55
5 56
5 57
5 60
5 62
5 64
6 7
6 8
6 9
6 10
6 11
6 12
6 13
6 14
6 15
6 16
6 17
6 18
6 19
6 20
6 21
6 22
6 23
6 24
6 25
6 26
6 28
6 29
6 30
6 31
6 32
6 33
6 34
6 35
6 36
6 37
6 38
6 39
6 40
6 42
6 43
6 44
6 45
6 46
6 47
6 48
6 50
6 51
6 52
6 53
6 54
6 55
6 57
6 60
6 62
6 63
6 65
6 67
7 8
7 9
7 10
7 11
7 12
7 13
7 14
7 15
7 16
7 17
7 18
7 19
7 20
7 21
7 22
7 23
7 24
7 25
7 26
7 27
7 28
7 29
7 30
7 31
7 32
7 33
7 34
7 35
7 36
7 37
7 38
7 39
7 40
7 41
7 42
7 43
7 45
7 46
7 47
7 48
7 49
7 50
7 52
7 53
7 54
7 55
7 57
7 60
7 61
7 63
7 65
7 67
7 68
7 70
8 9
8 10
8 11
8 12
8 13
8 14
8 15
8 16
8 20
8 21
8 22
8 24
8 25
8 28
8 29
8 31
8 32
8 34
8 35
8 37
8 38
8 40
8 42
8 43
8 44
8 45
8 46
8 47
8 48
8 51
8 52
8 55
8 56
8 57
8 62
8 64
8 66
8 71
9 10
9 11
9 12
9 13
9 14
9 15
9 16
9 17
9 18
9 19
9 20
9 21
9 22
9 23
9 24
9 25
9 26
9 27
9 28
9 29
9 30
9 31
9 32
9 33
9 34
9 35
9 36
9 37
9 38
9 39
9 40
9 41
9 42
9 43
9 45
9 46
9 47
9 48
9 49
9 50
9 52
9 53
9 54
9 55
