0 2
0 3
0 5
0 6
0 7
0 9
0 10
0 11
0 12
0 13
0 14
0 15
0 16
0 18
0 20
0 21
0 22
0 25
0 26
0 28
0 35
0 38
0 39
0 45
1 2
1 3
1 4
1 5
1 6
1 7
1 8
1 9
1 10
1 11
1 14
1 15
1 16
1 17
1 18
1 19
1 20
1 21
1 23
1 24
1 25
1 26
1 27
1 28
1 29
1 30
1 31
1 32
1 33
1 34
1 35
1 36
1 37
1 38
1 39
1 40
1 41
1 42
1 43
1 44
1 46
1 47
2 3
2 4
2 5
2 6
2 7
2 8
2 9
2 10
2 11
2 12
2 14
2 15
2 16
2 17
2 18
2 19
2 20
2 21
2 22
2 23
2 24
2 25
2 26
2 27
2 28
2 29
2 30
2 31
2 32
2 33
2 34
2 35
2 36
2 37
2 38
2 39
2 40
2 41
2 42
2 43
2 46
2 51
3 5
3 6
3 7
3 8
3 9
3 10
3 11
3 12
3 13
3 14
3 15
3 16
3 18
3 19
3 20
3 21
3 22
3 23
3 25
3 26
3 28
3 31
3 34
3 35
3 38
3 39
3 41
3 45
3 48
4 5
4 6
4 7
4 8
4 9
4 10
4 11
4 15
4 16
4 17
4 18
4 19
4 20
4 21
4 23
4 24
4 27
4 29
4 30
4 31
4 32
4 33
4 34
4 36
4 37
4 40
4 41
4 42
4 43
4 44
4 47
5 6
5 7
5 8
5 9
5 10
5 11
5 12
5 13
5 14
5 15
5 16
5 17
5 18
5 19
5 20
5 21
5 22
5 23
5 24
5 25
5 26
5 27
5 28
5 29
5 30
5 31
5 32
5 34
5 35
5 36
5 37
5 38
5 39
5 40
5 41
5 42
5 43
5 46
5 48
5 50
5 51
6 7
6 8
6 9
6 10
6 11
6 12
6 13
6 14
6 15
6 16
6 17
6 18
6 19
6 20
6 21
6 22
6 23
6 24
6 25
6 26
6 28
6 29
6 30
6 31
6 34
6 35
6 36
6 37
6 38
6 39
6 41
6 42
6 43
6 45
6 46
6 48
6 50
6 51
7 8
7 9
7 10
7 11
7 12
7 13
7 14
7 15
7 16
7 17
7 18
7 19
7 20
7 21
7 22
7 23
7 24
7 25
7 26
7 28
7 29
7 30
7 31
7 34
7 35
7 36
7 37
7 38
7 39
7 41
7 42
7 43
7 45
7 46
7 48
7 50
7 51
8 9
8 10
8 11
8 14
8 15
8 16
8 17
8 18
8 19
8 20
8 21
8 23
8 24
8 25
8 26
8 27
8 28
8 29
8 30
8 31
8 32
8 33
8 34
8 35
8 36
8 37
8 38
8 39
8 40
8 41
8 42
8 43
8 44
8 46
8 47
8 50
8 51
9 10
9 11
9 12
9 13
9 14
9 15
9 16
9 17
9 18
9 19
9 20
9 21
9 22
9 23
9 24
9 25
9 26
9 27
9 28
9 29
9 30
9 31
9 32
9 33
9 34
9 35
9 36
9 37
9 38
9 39
9 40
9 41
9 42
9 43
9 45
9 46
9 47
9 48
9 50
9 51
9 54
9 55
10 11
10 12
10 13
10 14
10 15
10 16
10 17
10 18
10 19
10 20
10 21
10 22
10 23
10 24
10 25
10 26
10 27
10 28
10 29
10 30
10 31
10 32
10 33
10 34
10 35
10 36
10 37
10 38
10 39
10 40
10 41
10 42
10 43
10 44
10 45
10 46
10 47
10 48
10 50
10 51
10 54
10 55
10 59
11 12
11 13
11 14
11 15
11 16
11 17
11 18
11 19
11 20
11 21
11 22
11 23
11 24
11 25
11 26
11 27
11 28
11 29
11 30
11 31
11 32
11 33
11 34
11 35
11 36
11 37
11 38
11 39
11 40
11 41
11 42
11 43
11 44
11 45
11 46
11 47
11 48
11 50
11 51
11 54
