0 3
0 7
0 9
0 10
0 11
0 15
0 16
0 17
0 21
0 22
0 24
0 27
0 29
0 33
0 35
0 37
0 39
0 40
0 47
0 48
0 50
0 51
0 52
0 55
0 58
0 61
1 2
1 4
1 5
1 6
1 7
1 8
1 9
1 10
1 11
1 12
1 13
1 14
1 15
1 16
1 17
1 18
1 19
1 20
1 23
1 25
1 26
1 27
1 28
1 29
1 30
1 31
1 32
1 33
1 34
1 35
1 36
1 37
1 38
1 39
1 40
1 41
1 42
1 43
1 44
1 45
1 53
1 54
1 59
1 60
2 4
2 5
2 6
2 7
2 8
2 9
2 10
2 11
2 12
2 13
2 14
2 15
2 16
2 17
2 18
2 19
2 20
2 21
2 22
2 23
2 25
2 26
2 27
2 28
2 29
2 30
2 31
2 32
2 33
2 34
2 35
2 36
2 37
2 38
2 39
2 40
2 41
2 42
2 43
2 44
2 45
2 47
2 53
2 54
2 59
2 60
3 7
3 9
3 10
3 11
3 13
3 15
3 16
3 17
3 21
3 22
3 24
3 27
3 29
3 32
3 33
3 35
3 37
3 39
3 40
3 41
3 44
3 47
3 48
3 50
3 51
3 52
3 55
3 57
3 58
3 61
4 5
4 6
4 7
4 8
4 9
4 10
4 11
4 12
4 13
4 14
4 15
4 16
4 17
4 18
4 19
4 20
4 23
4 25
4 26
4 28
4 29
4 30
4 31
4 32
4 34
4 35
4 36
4 37
4 38
4 39
4 40
4 41
4 42
4 43
4 44
4 45
4 46
4 49
4 53
4 54
4 56
4 59
4 60
4 62
5 6
5 7
5 8
5 10
5 11
5 12
5 13
5 14
5 15
5 16
5 18
5 19
5 20
5 23
5 25
5 26
5 28
5 29
5 30
5 31
5 32
5 34
5 36
5 38
5 42
5 43
5 45
5 46
5 49
5 53
5 54
5 56
5 59
5 62
5 63
6 7
6 8
6 10
6 11
6 12
6 13
6 14
6 15
6 16
6 18
6 19
6 20
6 23
6 25
6 26
6 28
6 29
6 30
6 31
6 32
6 34
6 36
6 38
6 42
6 43
6 45
6 46
6 49
6 53
6 54
6 56
6 59
6 62
6 63
7 8
7 9
7 10
7 11
7 12
7 13
7 14
7 15
7 16
7 17
7 18
7 19
7 20
7 21
7 22
7 23
7 24
7 25
7 26
7 27
7 28
7 29
7 30
7 31
7 32
7 33
7 34
7 35
7 36
7 37
7 39
7 40
7 41
7 42
7 43
7 44
7 47
7 48
7 50
7 51
7 52
7 54
7 57
7 60
7 64
8 10
8 11
8 12
8 13
8 14
8 15
8 16
8 18
8 19
8 20
8 23
8 25
8 26
8 28
8 29
8 30
8 31
8 32
8 34
8 36
8 38
8 42
8 43
8 45
8 46
8 49
8 53
8 54
8 56
8 59
8 62
8 63
9 10
9 11
9 12
9 13
9 14
9 15
9 16
9 17
9 18
9 20
9 21
9 22
9 23
9 24
9 25
9 27
9 29
9 30
9 32
9 33
9 35
9 36
9 37
9 39
9 40
9 41
9 43
9 44
9 47
9 48
9 50
9 51
9 52
9 54
9 55
9 57
9 61
9 64
10 11
10 12
10 13
10 14
10 15
10 16
10 17
10 18
10 19
10 20
10 21
10 22
10 23
10 24
10 25
10 26
10 27
10 28
10 29
10 30
10 31
10 32
10 33
10 34
10 35
10 36
10 37
10 39
10 40
10 41
10 42
10 43
10 44
10 47
10 48
10 50
10 51
10 52
10 54
10 55
10 57
10 60
10 64
11 12
11 13
11 14
11 15
11 16
11 17
11 18
11 19
11 20
11 21
11 22
11 23
11 24
11 25
11 26
11 27
11 28
11 29
11 30
11 31
11 32
11 33
11 34
11 35
11 36
11 37
11 38
11 39
11 40
11 41
11 42
11 43
11 44
11 45
11 47
11 48
11 50
11 51
11 52
11 53
11 54
11 55
11 57
11 59
11 60
11 62
11 64
12 13
12 14
12 15
12 16
12 18
12 19
12 20
12 23
12 25
12 26
12 28
12 29
12 30
12 31
12 32
12 34
12 35
12 36
12 37
12 38
12 39
12 40
12 41
12 42
12 43
12 44
12 45
12 46
12 49
12 53
12 54
12 56
12 59
12 60
12 62
12 63
13 14
13 15
13 16
13 17
13 18
13 19
13 20
13 21
13 22
13 23
13 24
13 25
13 26
13 27
13 28
13 29
13 30
13 31
13 32
13 33
13 34
13 35
13 36
13 37
13 38
13 39
13 40
13 41
13 42
13 43
13 44
13 45
13 47
13 50
13 52
13 53
13 54
13 57
13 59
13 60
13 62
13 64
14 15
14 16
14 17
14 18
14 19
14 20
14 21
14 22
14 23
14 25
14 26
14 27
