0 2
0 4
0 5
0 6
0 7
0 8
0 9
0 12
0 13
0 14
0 15
0 17
0 18
0 21
0 22
0 23
0 24
0 26
0 27
0 28
0 31
0 33
0 36
0 37
0 38
0 39
0 40
0 41
0 44
0 45
0 48
0 49
0 50
0 51
0 52
0 53
0 54
0 58
0 59
0 60
0 61
1 3
1 4
1 5
1 6
1 7
1 8
1 10
1 11
1 12
1 13
1 15
1 16
1 17
1 19
1 20
1 22
1 24
1 25
1 26
1 28
1 29
1 30
1 32
1 34
1 35
1 36
1 39
1 42
1 43
1 45
1 46
1 47
1 55
1 57
2 5
2 6
2 7
2 8
2 9
2 13
2 14
2 15
2 17
2 18
2 21
2 23
2 24
2 26
2 27
2 28
2 31
2 33
2 36
2 37
2 38
2 40
2 41
2 44
2 48
2 49
2 52
2 53
2 58
2 59
2 60
3 4
3 5
3 6
3 7
3 8
3 10
3 11
3 12
3 13
3 15
3 16
3 17
3 19
3 20
3 22
3 24
3 25
3 26
3 27
3 28
3 29
3 30
3 32
3 34
3 35
3 36
3 37
3 39
3 41
3 42
3 43
3 44
3 45
3 46
3 47
3 49
3 50
3 51
3 55
3 56
3 57
4 5
4 6
4 7
4 8
4 9
4 10
4 11
4 12
4 13
4 15
4 16
4 17
4 19
4 20
4 22
4 24
4 25
4 26
4 27
4 28
4 29
4 30
4 31
4 32
4 33
4 34
4 35
4 36
4 37
4 39
4 41
4 42
4 43
4 44
4 45
4 46
4 47
4 49
4 50
4 51
4 55
4 56
4 57
5 6
5 7
5 8
5 9
5 10
5 11
5 12
5 13
5 14
5 15
5 16
5 17
5 18
5 19
5 20
5 21
5 22
5 23
5 24
5 25
5 26
5 27
5 28
5 29
5 30
5 31
5 32
5 33
5 34
5 35
5 36
5 37
5 38
5 39
5 40
5 41
5 42
5 43
5 44
5 45
5 46
5 48
5 49
5 50
5 51
5 52
5 53
5 54
5 56
5 58
6 7
6 8
6 9
6 10
6 11
6 12
6 13
6 14
6 15
6 16
6 17
6 18
6 19
6 20
6 21
6 22
6 23
6 24
6 25
6 26
6 27
6 28
6 29
6 30
6 31
6 32
6 33
6 34
6 35
6 36
6 37
6 38
6 39
6 40
6 41
6 42
6 43
6 44
6 45
6 46
6 47
6 48
6 49
6 50
6 51
6 52
6 53
6 54
6 56
6 58
7 8
7 9
7 10
7 11
7 12
7 13
7 14
7 15
7 16
7 17
7 18
7 19
7 20
7 21
7 22
7 23
7 24
7 25
7 26
7 27
7 28
7 29
7 30
7 31
7 32
7 33
7 34
7 35
7 36
7 37
7 38
7 39
7 40
7 41
7 42
7 43
7 44
7 45
7 46
7 47
7 48
7 49
7 50
7 51
7 52
7 53
7 54
7 56
7 63
7 64
8 9
8 10
8 11
8 12
8 13
8 14
8 15
8 16
8 17
8 18
8 19
8 20
8 21
8 22
8 23
8 24
8 25
8 26
8 27
8 28
8 29
8 30
8 31
8 32
8 33
8 34
8 35
8 36
8 37
8 38
8 39
8 40
8 41
8 42
8 43
8 44
8 45
8 46
8 48
8 49
8 50
8 51
8 52
8 53
8 54
8 56
8 58
8 61
8 63
8 64
8 65
8 67
8 68
9 12
9 13
9 14
9 15
9 17
9 18
9 21
9 22
9 23
9 24
9 26
9 27
9 28
9 31
9 33
9 36
9 37
9 38
9 39
9 40
9 41
9 44
9 45
9 48
9 49
9 50
9 51
9 52
9 53
9 54
9 58
9 59
9 60
9 61
9 65
10 11
10 12
10 13
10 15
10 16
10 17
10 19
10 20
10 22
10 24
10 25
10 26
10 28
10 29
10 30
10 32
10 34
10 35
10 36
10 37
10 39
10 41
10 42
10 43
10 44
10 45
10 46
10 47
10 50
10 51
10 55
10 56
10 57
10 62
10 69
11 12
11 13
11 15
11 16
11 17
11 19
11 20
11 22
11 24
11 25
11 26
11 28
11 29
11 30
11 32
11 34
11 35
11 36
11 37
11 39
11 41
11 42
11 43
11 44
11 45
11 46
11 47
11 49
11 50
11 51
11 55
11 56
11 57
11 62
11 66
11 69
12 13
12 15
12 16
12 17
12 19
12 20
12 22
12 24
12 25
12 26
12 27
12 28
12 29
12 30
12 31
12 32
12 33
12 34
12 35
12 36
12 37
12 38
12 39
12 41
12 42
12 43
12 44
12 45
12 46
12 47
12 49
12 50
12 51
12 54
12 55
12 56
12 57
12 62
12 63
12 64
12 66
12 69
13 14
13 15
13 16
13 17
13 18
13 19
13 20
13 21
13 22
13 23
13 24
13 25
13 26
13 27
13 28
13 29
13 30
13 31
13 32
13 33
13 34
13 35
13 36
13 37
13 38
13 39
13 40
13 41
13 42
13 43
13 44
13 45
13 46
13 47
13 48
13 49
13 50
13 51
13 52
13 53
13 54
13 55
13 56
13 58
13 61
13 63
13 64
13 65
13 66
13 67
13 68
14 15
14 17
14 18
14 21
14 22
14 23
14 24
14 26
14 27
14 28
14 31
14 33
14 36
14 37
14 38
14 39
14 40
14 41
14 44
14 45
14 48
14 49
14 50
14 51
14 52
14 53
14 54
14 56
14 58
14 59
14 60
14 61
14 65
14 70
15 16
15 17
15 18
15 19
15 20
15 21
15 22
15 23
15 24
15 25
15 26
15 27
15 28
15 29
15 30
15 31
15 32
15 33
15 34
15 35
15 36
15 37
15 38
15 39
15 40
15 41
15 42
15 43
15 44
15 45
15 46
15 48
15 49
15 50
15 51
15 52
15 53
15 54
15 56
15 58
15 59
15 61
15 63
15 64
15 65
15 67
15 68
15 70
16 17
16 19
16 20
16 22
16 24
16 25
16 26
16 27
16 28
16 29
16 30
16 32
16 34
16 35
16 36
16 37
16 39
16 41
16 42
16 43
16 44
16 45
16 46
16 47
16 49
16 50
16 51
16 55
16 56
16 57
