0 2
0 3
0 4
0 5
0 6
0 7
0 8
0 9
0 10
0 11
0 13
0 14
0 15
0 16
0 17
0 18
0 19
0 20
0 21
0 22
0 23
0 24
0 25
0 27
0 28
0 30
0 31
0 32
0 33
0 35
0 38
0 39
0 40
0 41
0 42
0 43
0 44
0 48
0 51
1 3
1 4
1 6
1 7
1 8
1 10
1 11
1 12
1 16
1 19
1 20
1 24
1 26
1 27
1 28
1 29
1 34
1 36
1 37
1 44
1 45
1 46
1 47
1 49
1 52
1 55
2 3
2 4
2 5
2 6
2 8
2 9
2 10
2 13
2 14
2 15
2 16
2 17
2 18
2 19
2 21
2 22
2 23
2 24
2 25
2 27
2 30
2 31
2 32
2 33
2 35
2 38
2 39
2 40
2 41
2 42
2 43
2 50
3 4
3 5
3 6
3 7
3 8
3 9
3 10
3 11
3 12
3 13
3 16
3 17
3 18
3 19
3 20
3 21
3 22
3 23
3 24
3 26
3 27
3 28
3 29
3 30
3 31
3 32
3 33
3 34
3 35
3 36
3 38
3 39
3 40
3 41
3 42
3 43
3 44
3 45
3 48
3 51
3 53
3 54
4 5
4 6
4 7
4 8
4 9
4 10
4 11
4 13
4 14
4 15
4 16
4 17
4 18
4 19
4 20
4 21
4 22
4 23
4 24
4 25
4 27
4 28
4 30
4 31
4 32
4 33
4 35
4 36
4 38
4 39
4 40
4 41
4 42
4 43
4 44
4 48
4 50
4 51
4 53
4 54
5 6
5 7
5 8
5 9
5 10
5 11
5 13
5 14
5 15
5 16
5 17
5 18
5 19
5 20
5 21
5 22
5 23
5 24
5 25
5 27
5 28
5 30
5 31
5 32
5 33
5 35
5 38
5 39
5 40
5 41
5 42
5 43
5 44
5 48
5 50
5 51
6 7
6 8
6 9
6 10
6 11
6 12
6 13
6 16
6 17
6 18
6 19
6 20
6 21
6 22
6 23
6 24
6 26
6 27
6 28
6 29
6 30
6 31
6 32
6 33
6 34
6 35
6 36
6 37
6 38
6 39
6 40
6 41
6 42
6 43
6 44
6 45
6 46
6 47
6 48
6 49
6 51
6 53
6 54
6 56
7 8
7 10
7 11
7 12
7 16
7 17
7 19
7 20
7 24
7 26
7 27
7 28
7 29
7 30
7 33
7 34
7 35
7 36
7 37
7 39
7 40
7 41
7 42
7 44
7 45
7 46
7 47
7 48
7 49
7 51
7 52
7 53
7 54
7 55
7 56
8 9
8 10
8 11
8 12
8 13
8 16
8 17
8 18
8 19
8 20
8 24
8 26
8 27
8 28
8 29
8 30
8 32
8 33
8 34
8 35
8 36
8 37
8 39
8 40
8 41
8 42
8 43
8 44
8 45
8 46
8 47
8 48
8 49
8 51
8 52
8 53
8 54
8 55
8 56
9 10
9 13
9 14
9 15
9 16
9 17
9 18
9 19
9 21
9 22
9 23
9 24
9 25
9 27
9 28
9 30
9 31
9 32
9 33
9 35
9 38
9 39
9 40
9 41
9 42
9 43
9 44
9 48
9 50
9 51
9 57
9 58
9 59
9 60
9 61
9 62
10 11
10 12
10 13
10 16
10 17
10 18
10 19
10 20
10 21
10 22
10 23
10 24
10 26
10 27
10 28
10 29
10 30
10 31
10 32
10 33
10 34
10 35
10 36
10 37
10 38
10 39
10 40
10 41
10 42
10 43
10 44
10 45
10 46
10 47
10 48
10 49
10 51
10 52
10 53
10 54
10 56
11 12
11 16
11 19
11 20
11 24
11 26
11 27
11 28
11 29
11 30
11 33
11 34
11 35
11 36
11 37
11 39
11 40
11 41
11 42
11 44
11 45
11 46
11 47
11 48
11 49
11 51
11 52
11 53
11 54
11 55
11 56
12 16
12 19
12 20
12 24
12 26
